gen,eval,loss,eta_base,lambda_pull,alpha_aniso,mu_responsiveness,k_pref,r_pref,rho_temporal,polarization_mean,turning_angle_std,nnd_median
2,44,0.4207751453919861,0.80072684025592,0.784009475616113,0.5433471498335345,0.8578857185582341,0.43768826272737094,4.0258737186365074,0.3547244088679338,0.9724293027904862,0.2765567839577596,4.341225071715163
2,45,2.1182352131364937,0.5246954984072933,0.33927581064173673,0.4385294342597911,0.103441123156603,0.4838507288360299,3.4476809254238283,0.41299589986797514,0.9971942507416361,0.019495430470413015,3.8096462094409667
2,46,1.5417727522835585,1.347714183315984,0.30746894862320967,0.48835771114908455,0.8548952488619973,0.38308458695024755,3.3530329025481724,0.6078732004167016,0.8984968682488932,0.46494499111620674,3.7443973779987743
2,47,0.19041620833121525,1.3082277094914554,0.365390817686029,0.5235094627199236,0.6500002840444873,0.18719385796932425,3.672817932601491,0.22993129914529808,0.9615839558332351,0.27714755116141643,3.8757443760913395
2,48,0.7224460544892537,1.3980337520549013,0.4089989554974093,0.8284998214659545,0.6794109316910925,0.26454246302407064,3.179515762597103,0.5528923550628294,0.9233788059691783,0.32621644824299256,3.441533729389639
2,49,1.1289891951296642,0.5297395062822902,0.4191367438995832,0.7079504507783744,0.9294582631957261,0.19786707710154755,4.939510306350845,0.48151588372459164,0.9844055869098296,0.22803548677907237,5.022631318764053
2,50,1.3359336198493637,1.3060402842275518,0.48372888217764193,0.5578897859096397,0.8694804617389517,0.32649213064767424,3.4229289020231963,0.4223980125952454,0.9276860836119178,0.4281312778709735,3.695125762085884
2,51,0.3183621916376348,1.2893837745751373,0.33770894575798793,0.2071927176878427,0.6339568904721468,0.3621680921975124,3.312792175440207,0.5522169002385193,0.9469487671198697,0.28391166904470544,3.6873482121134926
2,52,0.7117922677509875,0.6854683098316261,0.4604220187521236,0.3110210730906641,0.7406417673769022,0.6327739991873224,3.4983293378617013,0.48664096979006954,0.9792500938751341,0.22173805194454438,4.133975706389234
2,53,0.779449424442676,1.0066099503887194,0.42417126144409556,0.8889579195679234,0.7254727976593598,0.4920820202610505,3.816215075759091,0.7765107981979402,0.9167150716581929,0.34277025268248157,4.237756681519682
2,54,0.3921679012796562,1.4462772399952786,0.8405360672554163,0.4298205357283977,0.647499209192396,0.07788173400198775,3.9108674100209617,0.3943532964547817,0.9561280903563105,0.2561893312609061,3.733321983929553
2,55,1.1712784720125846,1.3732128898614,0.19343715299289294,0.38412946270108594,0.5793688509596531,0.4611561779667941,4.855434333321171,0.4923417397452961,0.9414608109723204,0.3316866887045687,5.098016774431672
2,56,1.3276934733278827,0.7152904630315937,0.11889432174042791,0.3397545984465743,0.541075322786695,0.5379356862247804,4.0453235592773025,0.6040423802157142,0.98066136171498,0.16578566570598624,4.540263265604336
2,57,1.1513872605267337,1.3385043903061875,0.2870630220679541,0.26569035066750457,0.7828931692078429,0.13826095642948383,4.4119977361346,0.5119982614287663,0.937616944600242,0.37308369853452455,4.484519655976817
2,58,1.560958291354909,0.7980535082381783,0.48491809752363596,0.4594723872744783,0.6339984050322489,0.393330781527906,2.335476201371287,0.29045618377569327,0.9816884358488835,0.16519313591784543,2.802483680115709
2,59,2.019926592563735,0.9644694591216151,0.4343771233504847,0.5514450486027589,0.3414907184011049,0.11527552111555514,4.9989583857080415,0.2522012421576977,0.9745235102478544,0.09405684869028472,4.890531893242622
2,60,0.8046433819620313,0.724381571055556,0.6915627710301979,0.62582773757707,0.855954447061654,0.3259925538432711,3.2488428659829918,0.21979608443549675,0.9823604045196943,0.21612481223923624,3.557851550634024
3,61,1.911723505491681,1.356158990874402,0.8449075550408353,0.5297763632299726,0.9918765346150904,0.35456147984725994,3.78052622000599,0.3146899149876475,0.9299024444581094,0.5163150799028693,3.962546610726619
3,62,0.5680812622905649,1.2582683124510128,0.675491302519667,0.1420596526766691,0.7552431550205335,0.2797658183077766,3.44510460510011,0.3134590941266966,0.9602779050744241,0.3126275048331202,3.6379648752339144
3,63,1.0010470412932573,1.4374529345783886,0.5208696121264798,0.08025901781676525,0.7091982891549412,0.4030215337603999,2.972584880986526,0.31145037280983484,0.9434252849981288,0.35188675689461957,3.308927637025056
3,64,1.4666258524595968,1.028831169191575,0.6009093384138555,0.5802991250940106,0.41331927161334125,0.4906941143228818,4.16733834546903,0.39497529741202386,0.9793309806894666,0.14356378866482827,4.50041352941295
3,65,0.5482875246682298,0.9739959645822598,0.6651424645987186,0.2905257280955821,0.8236995898979523,0.35813591678937007,3.977305984190815,0.6725802536627415,0.9592297175694968,0.30307125054340767,4.2467876551019375
3,66,0.8420496091437921,1.3515553082910587,0.4774333945696557,0.6608873632740027,0.5167507020568056,0.203865080751325,4.037428262714121,0.2612298720134031,0.967566101650285,0.2076818346409513,4.217006426524442
3,67,1.6616581158781494,1.3511822237174802,0.38388334769202614,0.2225701533186013,0.8693322061320061,0.4589281116016627,3.1293715994879943,0.3139633625108031,0.9279308506970398,0.4630862206107008,3.5547263377716307
3,68,0.9028832904600512,1.2548380036350295,0.8757596412327375,0.5082968208309044,0.8394102859839557,0.3186467591457554,3.847401649232383,0.33432423942980233,0.9547415966988483,0.3711675903632973,3.9871635188071197
3,69,1.3786400905782412,1.1061179636041445,0.7089577845947469,0.7035198552405445,0.48465896660726604,0.25721967606760004,4.397412511622056,0.20217610583585305,0.9680090241415302,0.15572342670717676,4.527550775732625
3,70,1.2920899963528476,1.4433444395475004,0.8300788356483555,0.20212020393428126,0.8361495430921364,0.27608134177846244,3.3171527752595207,0.39730880935988516,0.9420180688592135,0.4015387771858917,3.439415816700257
3,71,0.619758052750368,1.0093313969806297,0.2900157781905783,0.4745986449325025,0.6751143586547086,0.20830856624967198,3.9816669611235382,0.639121828088328,0.9655875617641325,0.2390913859878617,4.232048821335316
3,72,1.1303546005829217,1.036658965106951,0.5331118303710627,0.7894469868179386,0.6013468959492787,0.32628076387381433,4.594611702716001,0.15593439436936973,0.9802296755699917,0.20995764537504447,4.780217352165603
3,73,0.45999080479236504,0.9513727814431476,0.2653835325224974,0.2867510296635297,0.7538818108463673,0.44467383279485173,3.8376479057075232,0.4633254534241506,0.96366479085368,0.289881184352491,4.250431900801689
3,74,0.7318704276294842,0.8426780370479018,0.41375110802581494,0.3830294443539402,0.7294088260865049,0.1958877754748376,3.7894011710948816,0.5452387101203618,0.9757651306474351,0.21067876872555188,4.025342428455823
3,75,1.7115112798592866,1.4915280145737357,0.34943254045724165,0.354250684166769,0.7640728948493475,0.5648681638312308,3.4622416916584626,0.40250893411664246,0.9102439796616855,0.48968323915915574,3.995165211686394
3,76,2.1613702785824835,1.4998910047772471,0.681365881992354,0.1704600384643426,0.9748368239039269,0.2571079701431176,3.382002450322175,0.2599280615126739,0.9215321142210436,0.529234926970475,3.499872300883564
3,77,0.6601093737673109,1.4146464468599986,0.7276059384634033,0.6067030511984608,0.7857909878374164,0.10893874068474807,3.857669752628711,0.24560270653224753,0.9468628138970413,0.33791001047110136,3.7835837071800746
3,78,0.7038749848944885,0.9947725032902017,0.8427863322599258,0.9520592172554823,0.7639877145489256,0.08117262159814809,3.54744026518306,0.2358366837719439,0.967026714849031,0.22458193476968522,3.5982923318686106
3,79,0.5500963062642774,1.149547100608408,0.5163287614766555,0.8088397649541559,0.6769786398398158,0.465642688576703,3.8199100847348593,0.6739465464947711,0.9304678940086681,0.3119750406458953,4.193027420212198
3,80,0.8211076613126144,1.1586396895394464,0.8225689510405069,0.5684785709110478,0.5859157196266761,0.4502298582889025,4.1227119739963065,0.39526210771813197,0.968689517564419,0.22466899048486164,4.413179944941065
4,81,1.252030285566812,0.5540025165597722,0.9999948469045317,0.622307912656386,0.7770401411764702,0.22417341279679634,4.066889770256248,0.9020938732224537,0.9855127336100292,0.15470769875562368,4.225207631750308
4,82,0.9886406324898163,0.5956814960820408,0.4014185334694683,0.4676850588807876,0.7071535764385047,0.5154863987000164,3.470111969022134,0.6209412666426903,0.9828982978854578,0.17453194652454526,3.998351248707511
4,83,0.4264843487865313,0.8808096993553949,0.6450728406195126,0.47874608056620305,0.8188402268695975,0.4056990314866901,3.9711947265186085,0.6471319182168518,0.9625840365569591,0.28204425503428465,4.298318765635961
4,84,0.7641781673039719,1.0727088617017675,0.6172837675510049,0.6435598030199099,0.6584080587902476,0.1617631346271467,3.399070376760803,0.7039263662242808,0.9583050112247584,0.21832582225480124,3.548441593635572
4,85,1.4972896751467233,0.8063743046540112,0.595148158767065,0.6980530069128965,0.5228944951232928,0.3353371781509665,3.0280335682657684,0.5859736265912118,0.979969154574517,0.13505113020019763,3.347486628274445
4,86,1.2381337810744009,0.9241674418646388,0.2846713675078082,0.4969134213666947,0.8700173644531779,0.43927528747908084,4.476590561153201,0.3412756984767645,0.9592833534839574,0.3584546803876945,4.8082587199261
4,87,0.4029039861141466,1.440686461348193,0.5359858881690223,0.521902216276063,0.6113721817800216,0.319534626502035,3.1660392262115855,0.3818005461551374,0.9487101038393225,0.2788442192952806,3.455493930500526
4,88,0.7830627657091982,1.1468575778299324,0.3445567535577402,0.2168127629231667,0.7555462413154821,0.16226929292545328,4.626505751593479,0.3039199183668373,0.9640847645904678,0.30206137187715604,4.7064916330644015
4,89,0.9465310577738557,0.6820900849176502,0.22798817197049406,0.266981782658487,0.7352189535403703,0.44226665852444524,4.029439032954331,0.3260293975436264,0.9817657435787156,0.20834285435351774,4.395980013902955
4,90,0.7735957506908252,1.3605373431693573,0.6291997722421365,0.564151958952783,0.7859133255813077,0.16320967739418452,4.0752767470396805,0.5275522686532498,0.9409663760024436,0.3454116956116252,4.131509393279387
4,91,0.8320611839309016,1.242091264131676,0.6374198056678546,0.46560248282969097,0.8305884630511361,0.3118335938195088,3.614037414326248,0.5101756363512954,0.9407107023173713,0.36704420024951534,3.8452084770044648
4,92,0.5726396438677674,0.9702424435201228,0.14633225301164982,0.4137892568861606,0.6549832146465079,0.3936670754716637,3.9100640266452613,0.575300017326136,0.9628439881591628,0.24932100409735586,4.291138163095508
4,93,0.6118105739883583,1.1499363740634727,0.5845119457690346,0.23335108567370444,0.6979850159736839,0.6339652616885543,3.4420117247732733,0.6092592493601638,0.9505698044716417,0.3279580291518144,4.039972220248453
4,94,1.2014325565181196,0.9630254042986107,0.722497823787859,0.5161426282864091,0.9205594542570533,0.33443427032797973,4.4919905524908685,0.5357004741600113,0.9569380599477769,0.36249689875361135,4.6853739324346
4,95,0.8188749021990913,0.7753092882530704,0.5699149754826736,0.25803921833751503,0.6893947469350962,0.536879838285704,3.121988135858283,0.18538051172775943,0.981141688199935,0.20960643360927272,3.61919772250331
4,96,0.6248868856842295,0.9093660006999862,0.31309969404035,0.2780054922353039,0.8990061448684517,0.35736983795474514,3.678887844370306,0.20853079591304946,0.9650734491256083,0.33126861167683447,3.984283983298789
4,97,0.8550331713875667,1.2408182528502085,0.4744959927319295,0.44896566570817004,0.7114340293689746,0.41469942213236005,4.118928013949729,0.5843343159532122,0.9420296996004218,0.3354394984814403,4.428160567133083
4,98,0.7532250328188463,1.3667161913358847,0.6330583700685549,0.9986220477997184,0.7111926281645402,0.42440410521155425,3.5887066484483054,0.39739085862803103,0.9158409442763155,0.3634670442788776,3.89685715719472
4,99,0.6117908806384659,1.0805944809437162,0.6056472214433656,0.3250817822720283,0.804395735916268,0.240549904429667,4.2105012963744155,0.4538459863859277,0.9640914777346511,0.3044022046234465,4.340077349954335
4,100,0.7607410508800452,1.228241192405437,0.18666402585900582,0.4859530352577659,0.7236700210505204,0.28244922513972986,3.9537346435893563,0.4612040733591445,0.9455899853404244,0.3377264381455013,4.203908043447384
5,101,1.2692491219556112,1.166176705075552,0.3096157768298367,0.33883741374168747,0.7376217876724361,0.5145377891695375,4.114955678014213,0.5713527306099153,0.9350833362724208,0.3859351410937617,4.538684405900999
5,102,0.7526463731012007,0.9954238374129714,0.24324556459826857,0.5687467369207906,0.8980066557763723,0.23468157758036892,3.533307444943018,0.5125616069076616,0.945692216691352,0.35526783183518884,3.845513669179456
5,103,1.4120017216791296,1.055724937013641,0.41516307228785304,0.2415999071718958,0.8317748666392069,0.5586923145188006,3.926675958383647,0.6140363827277526,0.9392389590161768,0.41237471352412813,4.4337509057203395
5,104,0.2967657500245373,1.0266494971807179,0.6153916079382673,0.4986937409834399,0.7688841602882596,0.3214446194821241,3.396216995133054,0.5328724919880646,0.957694309242496,0.2765461805842471,3.6510149442530553
5,105,0.3236260399957872,1.3070196680868336,0.8141277979959366,0.19556194166871715,0.6283635647738468,0.5450505135580225,3.596008151840125,0.4079912223875709,0.9578561380917417,0.2849266080546298,4.068677739784351
5,106,0.5074467303431603,0.9958867614322742,0.5892106218952338,0.6857975459637963,0.8615166363779327,0.16126127841398505,4.172991486624926,0.47531005285570715,0.9609646902930491,0.2959439166126673,4.26370215613897
5,107,0.5964653959962081,1.020041882229961,0.6030523868432272,0.5174309075143533,0.657020024653918,0.3469446350497045,3.8882197069126088,0.41060028580420965,0.9697807916717414,0.2345136050550201,4.1121810679613215
5,108,1.3619483418998088,1.2771948282655086,0.35057140435311834,0.4475668067418259,0.7474355350692906,0.4985235577245293,4.079792670474,0.5403041977923937,0.9259403855658299,0.40449697057660394,4.479021437765859
5,109,0.8655827948036157,0.8875820024997254,0.6282118883665427,0.22620543078331595,0.6526290293459659,0.4389309447880386,3.771987754769387,0.45635739390083935,0.9780484175468439,0.20048641331853884,4.136426972474535
5,110,0.8852986626463497,1.0628296546166074,0.3969022247026455,0.14436843168317254,0.9030427576862065,0.32908072583632364,3.4632492906424073,0.3276283674550937,0.9552753125097728,0.3684536934323913,3.79605278885404
5,111,0.43418949371441323,1.1700553777237734,0.6131945371574121,0.32518465661258766,0.6906777871642132,0.46573001657146784,3.77588950251393,0.5894368859420576,0.9493551272022955,0.29646974175194596,4.141262147443182
5,112,1.013366187664351,1.129278807946973,0.27377932039291075,0.4951682274086241,0.8217919951079168,0.3282925505337324,4.007523313469747,0.2953425932352234,0.953265901748164,0.36561756866183526,4.284006621972457
